state,period,amount
Maryland,2005,3310820
Massachusetts,2005,4071326
Michigan,2005,5491738
Minnesota,2005,3448135
Mississippi,2005,1473716
Missouri,2005,3533315
Montana,2005,600577
Nebraska,2005,1192178
Nevada,2005,1533724
New Hampshire,2005,825600
New Jersey,2005,4991146
New Mexico,2005,1050191
New York,2005,10654520
North Carolina,2005,5093049
North Dakota,2005,461645
Ohio,2005,6709210
Oklahoma,2005,2043018
Oregon,2005,2196887
Pennsylvania,2005,7053674
Rhode Island,2005,605736
South Carolina,2005,2356291
South Dakota,2005,527755
Tennessee,2005,3572052
Texas,2005,13003858
Utah,2005,1517566
Vermont,2005,417100
Virginia,2005,4701063
Washington,2005,3687899
West Virginia,2005,890779
Wisconsin,2005,3511432
Wyoming,2005,354378
New England,2005,8901095
Mideast,2005,27308630
Great Lakes,2005,26681985
Plains,2005,12862597
Southeast,2005,42109692
Southwest,2005,19316887
Rocky Mountain,2005,6370711
Far West,2005,28786803
United States,2006,175868600
Alabama,2006,2545556
Alaska,2006,431320
Arizona,2006,3375218
Arkansas,2006,1567682
California,2006,20505187
Colorado,2006,3109368
Connecticut,2006,2202108
Delaware,2006,537109
District of Columbia,2006,777525
Florida,2006,10383866
Georgia,2006,5358038
Hawaii,2006,842413
Idaho,2006,899832
Illinois,2006,7448603
Indiana,2006,3674399
Iowa,2006,1965778
Kansas,2006,1795507
Kentucky,2006,2374830
Louisiana,2006,2413797
Maine,2006,817622
Maryland,2006,3378396
Massachusetts,2006,4110415
Michigan,2006,5457450
Minnesota,2006,3495705
Mississippi,2006,1508314
Missouri,2006,3586453
Montana,2006,616927
Nebraska,2006,1208025
Nevada,2006,1604488
New Hampshire,2006,835582
New Jersey,2006,5057223
New Mexico,2006,1079132
New York,2006,10810191
North Carolina,2006,5251538
North Dakota,2006,471138
Ohio,2006,6747271
Oklahoma,2006,2095927
Oregon,2006,2256424
Pennsylvania,2006,7152678
Rhode Island,2006,611123
South Carolina,2006,2418626
South Dakota,2006,538720
Tennessee,2006,3643562
Texas,2006,13493427
Utah,2006,1592736
Vermont,2006,421004
Virginia,2006,4781825
Washington,2006,3798303
West Virginia,2006,902935
Wisconsin,2006,3546975
Wyoming,2006,370329
New England,2006,8997854
Mideast,2006,27713122
Great Lakes,2006,26874698
Plains,2006,13061326
Southeast,2006,43150569
Southwest,2006,20043704
Rocky Mountain,2006,6589192
Far West,2006,29438135
United States,2007,179543700
Alabama,2007,2604078
Alaska,2007,439825
Arizona,2007,3465075
Arkansas,2007,1582858
California,2007,20888396
Colorado,2007,3217961
Connecticut,2007,2245720
Delaware,2007,544949
District of Columbia,2007,788410
Florida,2007,10531260
Georgia,2007,5490688
Hawaii,2007,864625
Idaho,2007,929495
Illinois,2007,7577634
Indiana,2007,3720040
Iowa,2007,1994031
Kansas,2007,1844355
Kentucky,2007,2414908
Louisiana,2007,2501135
Maine,2007,828212
Maryland,2007,3440607
Massachusetts,2007,4202942
Michigan,2007,5457408
Minnesota,2007,3540491
Mississippi,2007,1538802
Missouri,2007,3636220
Montana,2007,635627
Nebraska,2007,1230935
Nevada,2007,1643860
New Hampshire,2007,848001
New Jersey,2007,5130158
New Mexico,2007,1103300
New York,2007,11082809
North Carolina,2007,5430998
North Dakota,2007,482505
Ohio,2007,6794918
Oklahoma,2007,2149852
Oregon,2007,2307415
Pennsylvania,2007,7265045
Rhode Island,2007,617985
South Carolina,2007,2482325
South Dakota,2007,551957
Tennessee,2007,3702452
Texas,2007,14008182
Utah,2007,1676394
Vermont,2007,425032
Virginia,2007,4869348
Washington,2007,3924936
West Virginia,2007,915669
Wisconsin,2007,3585396
Wyoming,2007,388476
New England,2007,9167892
Mideast,2007,28251978
Great Lakes,2007,27135396
Plains,2007,13280494
Southeast,2007,44064521
Southwest,2007,20726409
Rocky Mountain,2007,6847953
Far West,2007,30069057
United States,2008,179213900
Alabama,2008,2582591
Alaska,2008,443538
Arizona,2008,3402808
Arkansas,2008,1579283
California,2008,20654292
Colorado,2008,3251097
Connecticut,2008,2256043
Delaware,2008,544911
District of Columbia,2008,794912
Florida,2008,10269499
Georgia,2008,5450887
Hawaii,2008,858402
Idaho,2008,921093
Illinois,2008,7553059
Indiana,2008,3682931
Iowa,2008,1997615
Kansas,2008,1858069
Kentucky,2008,2402591
Louisiana,2008,2550836
Maine,2008,823517
Maryland,2008,3430882
Massachusetts,2008,4215669
Michigan,2008,5337644
Minnesota,2008,3526499
Mississippi,2008,1537431
Missouri,2008,3625612
Montana,2008,636171
Nebraska,2008,1237365
Nevada,2008,1619014
New Hampshire,2008,844862
New Jersey,2008,5123820
New Mexico,2008,1105447
New York,2008,11197699
North Carolina,2008,5413586
North Dakota,2008,491898
