"SQ1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Population (number of persons) 1/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998:Q1","1998:Q2","1998:Q3","1998:Q4","1999:Q1","1999:Q2","1999:Q3","1999:Q4","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2"
"23000","Maine","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1328737,1327952,1327824,1328127,1327922,1327860,1328130,1328340,1328168,1328048,1328340,1328593,1328135,1327898,1328244,1328743,1328720,1328771,1329033,1329051,1328375,1327871,1328292,1329187,1329442,1329880,1331112,1332777,1333921,1335132,1336799,1338432,1339528,1340735
"24000","Maryland","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5767341,5780890,5795839,5810605,5823508,5836206,5849906,5862837,5874492,5885630,5897942,5909511,5918383,5927407,5938048,5948646,5957233,5965595,5975171,5984107,5990417,5996803,6004479,6011620,6016371,6021561,6028986,6036898,6042675,6048503,6056481,6064276,6069867,6075679
"25000","Massachusetts","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6543649,6556277,6571928,6584684,6595137,6606018,6618868,6631508,6642456,6653504,6667338,6681581,6692536,6704286,6717678,6730535,6741036,6751886,6763685,6774104,6781327,6789269,6798686,6807223,6813042,6819677,6828992,6838999,6846773,6854898,6865142,6874961,6882492,6890611
"26000","Michigan","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9888308,9880301,9878220,9879617,9877653,9876009,9878689,9882566,9884007,9885243,9890128,9895426,9895844,9897186,9902348,9908181,9910342,9912695,9917047,9920160,9918453,9917564,9921594,9927222,9928668,9931142,9938306,9947191,9952591,9958235,9967368,9976283,9981394,9986983
"27000","Minnesota","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5300847,5307244,5315932,5325431,5333091,5341257,5350521,5359017,5366171,5373537,5383502,5394181,5402158,5410913,5421212,5431277,5439376,5447873,5457493,5466249,5472386,5479198,5489258,5500603,5509701,5519514,5532113,5545809,5557673,5569811,5583798,5597557,5609339,5621551
"28000","Mississippi","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2966928,2969254,2971745,2974016,2975343,2976582,2978488,2980258,2981451,2982318,2984104,2985942,2986454,2987056,2988155,2988969,2988820,2988527,2988721,2988565,2987120,2985731,2985733,2986299,2985661,2985302,2985618,2985813,2984948,2984134,2984390,2984600,2983642,2982807
"29000","Missouri","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5985064,5992230,5998455,6002975,6005437,6008229,6012598,6016593,6019079,6021542,6026672,6032426,6035128,6038566,6043927,6049306,6052428,6055798,6061016,6066004,6068007,6070652,6075868,6081611,6084748,6088599,6094699,6101289,6105758,6110431,6117226,6123893,6128198,6132845
"30000","Montana","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",988643,989949,991471,993201,994583,996027,997814,999619,1001144,1002671,1004776,1007097,1008891,1010814,1013054,1015262,1017067,1018911,1021199,1023543,1025328,1027250,1029777,1032563,1034884,1037319,1040267,1043412,1046181,1048968,1052154,1055362,1058144,1060956
"31000","Nebraska","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1824298,1828121,1831716,1834907,1837420,1840095,1843513,1847051,1850086,1853162,1856802,1860327,1862891,1865719,1869299,1873032,1876041,1879182,1882853,1886419,1889050,1891918,1895598,1899459,1902476,1905754,1909358,1912773,1915542,1918411,1921969,1925549,1928314,1931188
"32000","Nevada","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2698402,2701699,2705163,2709482,2712878,2716225,2722827,2731797,2740061,2748155,2757259,2766449,2774346,2782273,2792547,2804447,2815329,2826123,2838723,2852216,2864424,2876680,2890556,2905170,2918587,2932186,2947014,2962215,2976421,2990609,3005899,3021201,3035528,3049976
