,Year,Period,Label,Observation Value
178,1962,M11,1962 Nov,5.3
179,1962,M12,1962 Dec,5.3
180,1963,M01,1963 Jan,6.6
181,1963,M02,1963 Feb,6.9
182,1963,M03,1963 Mar,6.3
183,1963,M04,1963 Apr,5.6
184,1963,M05,1963 May,5.5
185,1963,M06,1963 Jun,6.2
186,1963,M07,1963 Jul,5.6
187,1963,M08,1963 Aug,5.2
188,1963,M09,1963 Sep,4.8
189,1963,M10,1963 Oct,4.7
190,1963,M11,1963 Nov,5.3
191,1963,M12,1963 Dec,5.3
192,1964,M01,1964 Jan,6.4
193,1964,M02,1964 Feb,6.2
194,1964,M03,1964 Mar,5.9
195,1964,M04,1964 Apr,5.3
196,1964,M05,1964 May,4.8
197,1964,M06,1964 Jun,5.9
198,1964,M07,1964 Jul,4.9
199,1964,M08,1964 Aug,4.8
200,1964,M09,1964 Sep,4.5
201,1964,M10,1964 Oct,4.4
202,1964,M11,1964 Nov,4.5
203,1964,M12,1964 Dec,4.7
204,1965,M01,1965 Jan,5.5
205,1965,M02,1965 Feb,5.7
206,1965,M03,1965 Mar,5.1
207,1965,M04,1965 Apr,4.7
208,1965,M05,1965 May,4.3
209,1965,M06,1965 Jun,5.3
210,1965,M07,1965 Jul,4.5
211,1965,M08,1965 Aug,4.2
212,1965,M09,1965 Sep,3.8
213,1965,M10,1965 Oct,3.6
214,1965,M11,1965 Nov,3.9
215,1965,M12,1965 Dec,3.7
216,1966,M01,1966 Jan,4.4
217,1966,M02,1966 Feb,4.2
218,1966,M03,1966 Mar,4.0
219,1966,M04,1966 Apr,3.6
220,1966,M05,1966 May,3.7
221,1966,M06,1966 Jun,4.6
222,1966,M07,1966 Jul,3.9
223,1966,M08,1966 Aug,3.6
224,1966,M09,1966 Sep,3.3
225,1966,M10,1966 Oct,3.2
226,1966,M11,1966 Nov,3.4
227,1966,M12,1966 Dec,3.5
228,1967,M01,1967 Jan,4.2
229,1967,M02,1967 Feb,4.2
230,1967,M03,1967 Mar,3.9
231,1967,M04,1967 Apr,3.5
232,1967,M05,1967 May,3.2
233,1967,M06,1967 Jun,4.6
234,1967,M07,1967 Jul,4.1
235,1967,M08,1967 Aug,3.7
236,1967,M09,1967 Sep,3.7
237,1967,M10,1967 Oct,3.8
238,1967,M11,1967 Nov,3.7
239,1967,M12,1967 Dec,3.5
240,1968,M01,1968 Jan,4.0
241,1968,M02,1968 Feb,4.2
242,1968,M03,1968 Mar,3.8
243,1968,M04,1968 Apr,3.2
244,1968,M05,1968 May,2.9
245,1968,M06,1968 Jun,4.5
246,1968,M07,1968 Jul,4.0
247,1968,M08,1968 Aug,3.5
248,1968,M09,1968 Sep,3.3
249,1968,M10,1968 Oct,3.2
250,1968,M11,1968 Nov,3.3
251,1968,M12,1968 Dec,3.1
252,1969,M01,1969 Jan,3.7
253,1969,M02,1969 Feb,3.7
254,1969,M03,1969 Mar,3.5
255,1969,M04,1969 Apr,3.2
256,1969,M05,1969 May,2.9
257,1969,M06,1969 Jun,4.1
258,1969,M07,1969 Jul,3.8
259,1969,M08,1969 Aug,3.5
260,1969,M09,1969 Sep,3.7
261,1969,M10,1969 Oct,3.5
262,1969,M11,1969 Nov,3.3
263,1969,M12,1969 Dec,3.2
264,1970,M01,1970 Jan,4.2
265,1970,M02,1970 Feb,4.7
266,1970,M03,1970 Mar,4.6
267,1970,M04,1970 Apr,4.3
268,1970,M05,1970 May,4.1
269,1970,M06,1970 Jun,5.6
270,1970,M07,1970 Jul,5.3
271,1970,M08,1970 Aug,5.0
272,1970,M09,1970 Sep,5.2
273,1970,M10,1970 Oct,5.1
274,1970,M11,1970 Nov,5.5
275,1970,M12,1970 Dec,5.6
276,1971,M01,1971 Jan,6.6
277,1971,M02,1971 Feb,6.6
278,1971,M03,1971 Mar,6.3
